id,title,flag,duration,block,author_main,gender
6UmG7L7QuUM,Tri u jednoj,mandatory,3:44,prelaz1,Marinko Rokvic,m
f46LkPDypSY,Ne može nam niko ništa,mandatory,3:37,turbofolk,Mitar Miric,m
sT3kZ6JcwCE,Radjaj sinove,backlog,3:20,veselje,Dzej,m
wwLKUZZEEMg,Usne vrele kao žar,mandatory,2:52,veselje,Nino,m
GfaEukWScfY,Pitaju me u mom kraju,mandatory,2:57,veselje,Dragana Mirkovic,f
VTEHyFQfI4c,Zaboravi broj,mandatory,3:39,veselje,Natasa Djordjevic,f
jphNlN8TDaw,Tri života srca tri,mandatory,2:48,veselje,Nada Topcagic,f
TskYcRu1JVw,Da li si me voljela il nisi,backlog,3:35,veselje,Sejo Kalac,m
Ti9JMqTes5Q,Neodoljiv neumoljiv,mandatory,2:46,veselje,Ceca,f
YQUgUDDWogA,Popij me kao lek,mandatory,3:33,veselje,Ceca,f
vcGEKEoIOF0,Volim te,mandatory,4:07,veselje,Ceca,f
Hhc4N2RFyZ8,Znam,mandatory,3:16,veselje,Ceca,f
Q-7m89hFLDE,Košava,mandatory,3:33,pred_kolo,Zorica Brunclik,f
6dFQZZzMI9U,Mutivoda,mandatory,3:00,pred_kolo,Sanja Djordjevic,f
dq8erD8lHZQ,Veseljak,mandatory,2:55,pred_kolo,Ana Bekuta,f
dylQmqvrWWA,Kolo na svadbi,mandatory,13:41,kolo,Mix Kola,inst
B6nUHOkLBuM,Moravac,backlog,3:30,kolo,Radojka Živković,inst
Cl4vSpuXJos,Aj veseli se kucni domacine,optional,3:00,folk,Beki Bekic,m
Tm-X7TWEemM,Alaj mi je večeras po volji,mandatory,2:57,folk,Jasna Đokić,f
L-oP3NbHpB4,Dao bih ovo malo života,backlog,4:20,folk,Nenad Milevski,m
2f-JBKQguaY,Što je lepo kad se neko voli,mandatory,4:07,folk,Merima Njegomir,f
4WpOJ0RUyC0,Ivanova korita,mandatory,3:20,folk,Merima Njegomir,f
2QLllufPXe8,Oj djevojko Milijana,backlog,2:32,folk,Beki Bekic,m
BeOsEkb2Q6c,Mali gospodin,mandatory,2:57,folk,Nada Topcagic,f
DWyTEYek6sM,Koliba kraj puta,mandatory,3:25,folk,Gordana Lazarevic,f
